predictor,coef,std_err,t,p_value,ci_low,ci_high,significant,abs_coef
Intercept,47790.53357460292,2691.432334898284,17.75654284706699,5.927229474109085e-69,42514.46066678258,53066.60648242327,True,47790.53357460292
C(dept_name)[T.Sales],21520.25122063895,787.0119231480958,27.344250560470076,4.358909788568845e-156,19977.454757947948,23063.047683329954,True,21520.25122063895
C(dept_name)[T.Marketing],12602.393469741564,968.8324332300592,13.00781542554841,3.2308135198873687e-38,10703.170336058005,14501.616603425124,True,12602.393469741564
C(dept_name)[T.Finance],10350.0963465452,1003.7662631002364,10.311261423130373,9.628280716575107e-25,8382.391672027581,12317.80102106282,True,10350.0963465452
C(title)[T.Senior Engineer],10242.907509288892,1401.6761572917992,7.307613428396597,3.0380654155251223e-13,7495.171479245068,12990.643539332716,True,10242.907509288892
C(title)[T.Senior Staff],9653.269330353109,1668.570230763004,5.785353923004404,7.565667075186548e-09,6382.335086465853,12924.203574240364,True,9653.269330353109
C(title)[T.Technique Leader],7437.431355105176,1549.3071023736168,4.8004887757312,1.6174606343819548e-06,4400.291196411197,10474.571513799156,True,7437.431355105176
C(dept_name)[T.Human Resources],-2819.6232886564603,977.9180908843038,-2.883291877857331,0.003948078031538199,-4736.657233177701,-902.5893441352198,True,2819.6232886564603
tenure_years,1131.9817994139146,70.55426659285727,16.044129633522594,7.302724889252737e-57,993.672747510599,1270.2908513172301,True,1131.9817994139146
C(title)[T.Engineer],1059.3128092372867,1441.6697844398,0.734781862442176,0.4624983230205593,-1766.8235914734855,3885.449209948059,False,1059.3128092372867
C(dept_name)[T.Research],973.2458984261028,953.21411702828,1.0210149860770772,0.30728456418918726,-895.3603128442495,2841.852109696455,False,973.2458984261028
C(dept_name)[T.Quality Management],-942.2348308757046,1230.287340723934,-0.7658656638060409,0.44378348189347966,-3353.9936639184834,1469.5240021670743,False,942.2348308757046
C(dept_name)[T.Production],842.4199746363514,1049.6926983047947,0.8025396156387682,0.4222696265210898,-1215.3152822569145,2900.1552315296176,False,842.4199746363514
C(dept_name)[T.Development],717.9828467671275,1046.8457592047891,0.6858535180125539,0.4928294473881282,-1334.1714939496517,2770.137187483907,False,717.9828467671275
C(title)[T.Staff],-138.08786788154703,1719.2627634979387,-0.08031807052029635,0.9359867087918556,-3508.3957780221253,3232.2200422590313,False,138.08786788154703
age_at_hire,-65.15685925636703,46.28124686453624,-1.4078458051719978,0.15922358240512888,-155.88298658862013,25.56926807588607,False,65.15685925636703
gender_binary,-27.000888624935897,352.30714268578754,-0.07664019644647739,0.9389120915984729,-717.6361859177913,663.6344086679195,False,27.000888624935897
